bank_txn_id,transaction_id,date,description,amount,type,currency,bank_name,reference_number
BANK_9a1de644815,TXN_23B8C1E9,2026-08-06,NEFT/RAZORPAY/TXN_23B8C1E9,3136.73,CREDIT,INR,HDFC Bank,UTR-GW_bd9c66b3ad3
BANK_18c26797614,TXN_01A9E71F,2026-08-22,NEFT/RAZORPAY/TXN_01A9E71F,3636.13,CREDIT,INR,ICICI Bank,UTR-GW_b2b9437a28d
BANK_c5e7ce8a3a5,TXN_142C3FE8,2026-08-24,NEFT/RAZORPAY/TXN_142C3FE8,1101.34,CREDIT,INR,HDFC Bank,UTR-GW_a0ee89aed45
BANK_29d4beef3ea,TXN_5EC42E08,2026-08-27,NEFT/RAZORPAY/TXN_5EC42E08,3319.0,CREDIT,INR,Kotak Mahindra,UTR-GW_4458a885ab9
BANK_366eb16f508,TXN_0E51F30D,2026-08-29,NEFT/RAZORPAY/TXN_0E51F30D,434.94,CREDIT,INR,Axis Bank,UTR-GW_ce177b4e083
BANK_dc713d960c0,TXN_BF3C4C06,2026-08-10,NEFT/RAZORPAY/TXN_BF3C4C06,165.23,CREDIT,INR,HDFC Bank,UTR-GW_956269f0e5d
BANK_a4161293c4c,TXN_877409A9,2026-08-22,NEFT/RAZORPAY/TXN_877409A9,1078.98,CREDIT,INR,Kotak Mahindra,UTR-GW_dc5c0eed8da
BANK_295b4715c33,TXN_C30FF46E,2026-08-31,NEFT/RAZORPAY/TXN_C30FF46E,2953.79,CREDIT,INR,Kotak Mahindra,UTR-GW_1b3dbd5ce9a
BANK_11b7e948d0e,TXN_E0F3EAB0,2026-08-31,NEFT/RAZORPAY/TXN_E0F3EAB0,982.16,CREDIT,INR,Kotak Mahindra,UTR-GW_4eb93effce8
BANK_e64d1bcb702,TXN_F6E07CC0,2026-09-02,NEFT/RAZORPAY/TXN_F6E07CC0,2061.33,CREDIT,INR,Axis Bank,UTR-GW_c1590f538a0
BANK_36d8393a7c4,TXN_122C9A56,2026-08-31,NEFT/RAZORPAY/TXN_122C9A56,2891.43,CREDIT,INR,HDFC Bank,UTR-GW_3a9bedd40f1
BANK_0f844fef193,TXN_1825BC54,2026-08-25,NEFT/RAZORPAY/TXN_1825BC54,3720.52,CREDIT,INR,ICICI Bank,UTR-GW_5ab33edf6e5
BANK_d605e7708a6,TXN_474EBC19,2026-08-06,NEFT/RAZORPAY/TXN_474EBC19,3423.85,CREDIT,INR,SBI,UTR-GW_ec5b227cdfd
BANK_bb026576f51,TXN_E7067EF4,2026-09-01,NEFT/RAZORPAY/TXN_E7067EF4,1368.65,CREDIT,INR,ICICI Bank,UTR-GW_008d4127610
BANK_43ff50113d1,TXN_0A2C827E,2026-08-24,NEFT/RAZORPAY/TXN_0A2C827E,509.63,CREDIT,INR,Axis Bank,UTR-GW_a8499b926b5
BANK_27cb6f2a8da,TXN_AAF91531,2026-08-18,NEFT/RAZORPAY/TXN_AAF91531,2962.14,CREDIT,INR,HDFC Bank,UTR-GW_ee87905e4ca
BANK_430f801dfad,TXN_E7C421C7,2026-08-13,NEFT/RAZORPAY/TXN_E7C421C7,3578.33,CREDIT,INR,Kotak Mahindra,UTR-GW_17a0df490d0
BANK_f8e1daa7cbc,TXN_26286BFB,2026-08-07,NEFT/RAZORPAY/TXN_26286BFB,620.22,CREDIT,INR,Axis Bank,UTR-GW_5e84f058d5a
BANK_2dea9493065,TXN_F94D6204,2026-08-21,NEFT/RAZORPAY/TXN_F94D6204,395.15,CREDIT,INR,SBI,UTR-GW_ecfedb99279
BANK_3a43b2badf0,TXN_1BAC27A7,2026-08-16,NEFT/RAZORPAY/TXN_1BAC27A7,4065.76,CREDIT,INR,Kotak Mahindra,UTR-GW_dbccc47709e
BANK_fbc9f87af66,TXN_8268690B,2026-08-18,NEFT/RAZORPAY/TXN_8268690B,4339.83,CREDIT,INR,SBI,UTR-GW_d7fa2d8dfb2
BANK_bdf070aaf0b,TXN_629C2AE3,2026-08-15,NEFT/RAZORPAY/TXN_629C2AE3,2833.17,CREDIT,INR,HDFC Bank,UTR-GW_41357e8c30a
BANK_610faa3ff0b,TXN_E6697833,2026-08-13,NEFT/RAZORPAY/TXN_E6697833,233.89,CREDIT,INR,ICICI Bank,UTR-GW_aab97e494f2
BANK_a8aa71582b7,TXN_9B4E2C24,2026-08-09,NEFT/RAZORPAY/TXN_9B4E2C24,3790.26,CREDIT,INR,HDFC Bank,UTR-GW_7118e364770
BANK_a1384ddce2d,TXN_39820CFF,2026-09-02,NEFT/RAZORPAY/TXN_39820CFF,4192.48,CREDIT,INR,HDFC Bank,UTR-GW_0640be0f25b
BANK_1f115b76d92,TXN_E2ADD909,2026-08-27,NEFT/RAZORPAY/TXN_E2ADD909,1868.69,CREDIT,INR,Axis Bank,UTR-GW_3805f9076cd
BANK_425a609f733,TXN_9CD6C852,2026-08-17,NEFT/RAZORPAY/TXN_9CD6C852,3118.43,CREDIT,INR,SBI,UTR-GW_81392443e45
BANK_10714d5136c,TXN_49257AF1,2026-08-25,NEFT/RAZORPAY/TXN_49257AF1,805.21,CREDIT,INR,SBI,UTR-GW_51d87c6455f
BANK_e4429ebbda7,TXN_F2311F17,2026-08-25,NEFT/RAZORPAY/TXN_F2311F17,1034.33,CREDIT,INR,SBI,UTR-GW_e172b725db5
BANK_06e745f988b,TXN_076E2BBA,2026-08-24,NEFT/RAZORPAY/TXN_076E2BBA,3441.84,CREDIT,INR,HDFC Bank,UTR-GW_addc3e13ab3
BANK_14f7ce8dd5b,TXN_610CF373,2026-08-28,NEFT/RAZORPAY/TXN_610CF373,2988.57,CREDIT,INR,ICICI Bank,UTR-GW_53ac2ab9746
BANK_41992fdfb31,TXN_3F4DF561,2026-08-23,NEFT/RAZORPAY/TXN_3F4DF561,2621.85,CREDIT,INR,ICICI Bank,UTR-GW_9f0fda8d053
BANK_d4a057a7b0c,TXN_9424AED5,2026-08-17,NEFT/RAZORPAY/TXN_9424AED5,808.87,CREDIT,INR,Axis Bank,UTR-GW_93676a024fd
BANK_6efb63b11b0,TXN_0A8381BE,2026-08-23,NEFT/RAZORPAY/TXN_0A8381BE,1329.9,CREDIT,INR,Kotak Mahindra,UTR-GW_a95976636da
BANK_ef43613cd4a,TXN_9DAC6E83,2026-08-09,NEFT/RAZORPAY/TXN_9DAC6E83,1083.76,CREDIT,INR,SBI,UTR-GW_c64ee6e389c
BANK_0299436a8e4,TXN_D9D80B8D,2026-08-30,NEFT/RAZORPAY/TXN_D9D80B8D,4131.51,CREDIT,INR,HDFC Bank,UTR-GW_364d7c877cd
BANK_8db06746792,TXN_B63B4DC3,2026-08-31,NEFT/RAZORPAY/TXN_B63B4DC3,1129.89,CREDIT,INR,HDFC Bank,UTR-GW_046a0df5caf
BANK_b97e670346c,TXN_1EE34DC4,2026-09-08,NEFT/RAZORPAY/TXN_1EE34DC4,3946.64,CREDIT,INR,Axis Bank,UTR-GW_1e9b23bc50c
BANK_c0b6fce2de5,TXN_4D6168BD,2026-08-29,NEFT/RAZORPAY/TXN_4D6168BD,1319.11,CREDIT,INR,ICICI Bank,UTR-GW_2067bdac88b
BANK_90164161cfa,TXN_F0E98B3B,2026-08-20,NEFT/RAZORPAY/TXN_F0E98B3B,4475.22,CREDIT,INR,Kotak Mahindra,UTR-GW_d2762bdc1d3
BANK_bd767e35f5c,TXN_85C7504B,2026-08-10,NEFT/RAZORPAY/TXN_85C7504B,4295.41,CREDIT,INR,SBI,UTR-GW_715629eee89
