gateway_txn_id,transaction_id,date,gross_amount,fee,status,payment_method,merchant_id,customer_id,captured_at
GW_88e2328f344,TXN_A5D588B1,2026-08-19,4234.37,84.69,SUCCESS,UPI,merch_e6614b,cust_1060b481,2026-08-19T18:21:31Z
GW_09746d46db6,TXN_67AE5295,2026-08-11,1525.48,30.51,SUCCESS,UPI,merch_e6614b,cust_a1e3bc0f,2026-08-11T00:51:27Z
GW_e7293cb5d99,TXN_59D80763,2026-08-14,3728.87,74.58,SUCCESS,UPI,merch_e6614b,cust_ba263a65,2026-08-14T00:57:04Z
GW_f00780b1f16,TXN_71D90CEE,2026-08-31,3220.96,64.42,SUCCESS,UPI,merch_e6614b,cust_e2d75832,2026-08-31T10:45:34Z
GW_b553762594a,TXN_974613D9,2026-08-25,1928.0,38.56,SUCCESS,UPI,merch_e6614b,cust_22a4e67c,2026-08-25T19:21:09Z
GW_d90bda106bf,TXN_CD581293,2026-08-05,2483.39,49.67,SUCCESS,UPI,merch_e6614b,cust_1bcc99ca,2026-08-05T22:21:44Z
GW_4574c6bcfd0,TXN_A8D2D42E,2026-08-15,2910.46,58.21,SUCCESS,UPI,merch_e6614b,cust_c6d6403c,2026-08-15T17:21:27Z
GW_1c4f9a17905,TXN_75D85B50,2026-08-06,1732.11,34.64,SUCCESS,UPI,merch_e6614b,cust_204e4164,2026-08-06T12:35:25Z
GW_b650bbd88e2,TXN_7ABCDFFA,2026-08-26,504.04,10.08,SUCCESS,UPI,merch_e6614b,cust_99f01484,2026-08-26T12:01:52Z
GW_8885b625f32,TXN_7E1B356B,2026-08-27,575.5,11.51,SUCCESS,UPI,merch_e6614b,cust_62515fe2,2026-08-27T17:56:27Z
GW_f39a463e95a,TXN_581743D3,2026-08-26,1697.51,33.95,SUCCESS,UPI,merch_e6614b,cust_eccdbf3d,2026-08-26T03:04:09Z
GW_db617802f4d,TXN_139170FC,2026-08-31,99.2,1.98,SUCCESS,UPI,merch_e6614b,cust_f7678e19,2026-08-31T14:59:48Z
GW_cffb476952e,TXN_9D19590B,2026-09-01,3611.33,72.23,SUCCESS,UPI,merch_e6614b,cust_bb6ff815,2026-09-01T13:31:49Z
GW_a6863777559,TXN_5CAA6501,2026-08-15,839.14,16.78,SUCCESS,UPI,merch_e6614b,cust_761c1683,2026-08-15T11:02:38Z
GW_6de83d5803d,TXN_EE3462E3,2026-08-27,1387.29,27.75,SUCCESS,UPI,merch_e6614b,cust_f5ea745d,2026-08-27T00:41:14Z
