settlement_id,transaction_id,gateway_txn_id,settlement_date,gross_amount,net_amount,fee_deducted,settlement_status
SET_c6302b01c,TXN_A5D588B1,GW_88e2328f344,2026-08-20,4234.37,4149.68,84.69,SETTLED
SET_5ad0ec531,TXN_67AE5295,GW_09746d46db6,2026-08-12,1525.48,1494.97,30.51,SETTLED
SET_d871bc63e,TXN_59D80763,GW_e7293cb5d99,2026-08-15,3728.87,3654.29,74.58,SETTLED
SET_c8f96e8f2,TXN_71D90CEE,GW_f00780b1f16,2026-09-01,3220.96,3156.54,64.42,SETTLED
SET_be62a532f,TXN_974613D9,GW_b553762594a,2026-08-26,1928.0,1889.44,38.56,SETTLED
SET_7eea84e52,TXN_CD581293,GW_d90bda106bf,2026-08-06,2483.39,2433.72,49.67,SETTLED
SET_1945d1677,TXN_A8D2D42E,GW_4574c6bcfd0,2026-08-16,2910.46,2852.25,58.21,SETTLED
SET_bc27faefc,TXN_75D85B50,GW_1c4f9a17905,2026-08-07,1732.11,1697.47,34.64,SETTLED
SET_c01f6bae7,TXN_7ABCDFFA,GW_b650bbd88e2,2026-08-27,504.04,493.96,10.08,SETTLED
SET_d657cd7ea,TXN_7E1B356B,GW_8885b625f32,2026-08-28,575.5,563.99,11.51,SETTLED
SET_88127b1c4,TXN_581743D3,GW_f39a463e95a,2026-08-27,1697.51,1663.56,33.95,SETTLED
SET_17e7ce489,TXN_139170FC,GW_db617802f4d,2026-09-01,99.2,97.22,1.98,SETTLED
SET_1b53d646a,TXN_9D19590B,GW_cffb476952e,2026-09-02,3611.33,3539.1,72.23,SETTLED
SET_f72cec4ca,TXN_5CAA6501,GW_a6863777559,2026-08-20,839.14,822.36,16.78,SETTLED
SET_85e96af43,TXN_EE3462E3,GW_6de83d5803d,2026-08-28,1387.29,1359.54,27.75,SETTLED
SET_053463b75,TXN_FCFD9383,GW_73d33bce0f7,2026-08-23,2183.21,2139.55,43.66,SETTLED
SET_423ffd450,TXN_25EA83B3,GW_2868a19d7ef,2026-08-29,1726.52,1691.99,34.53,SETTLED
SET_94bbf5b10,TXN_6BB17682,GW_bcf64a96797,2026-08-24,1629.77,1597.17,32.6,SETTLED
SET_dc3fba98a,TXN_284B783C,GW_bd2e35f1832,2026-08-28,4009.35,3929.16,80.19,SETTLED
SET_443461540,TXN_0C9FE8C4,GW_c6489222963,2026-08-11,2668.89,2615.51,53.38,SETTLED
SET_c9c21082e,TXN_FA4B2610,GW_c2e41033744,2026-08-28,1179.35,1155.76,23.59,SETTLED
SET_87032182e,TXN_271805B9,GW_5eb06b950bd,2026-08-09,2545.58,2494.67,50.91,SETTLED
SET_4dfa255dd,TXN_8C3C652C,GW_a920db727d4,2026-09-08,1713.85,1679.57,34.28,SETTLED
SET_bdd754f16,TXN_4385BD02,GW_136d803e255,2026-08-09,1824.71,1788.22,36.49,SETTLED
SET_c4c640461,TXN_EC5AEBCE,GW_c2f31037429,2026-08-18,4193.5,4109.63,83.87,SETTLED
SET_fead6b6f8,TXN_809122E9,GW_5632f5125a7,2026-08-25,3582.97,3511.31,71.66,SETTLED
SET_a79b047b1,TXN_7A7A2CCA,GW_41126bbfef6,2026-08-27,4564.59,4473.3,91.29,SETTLED
SET_e1b2c9e43,TXN_90E9B10B,GW_2c4e7e23d71,2026-08-13,4346.88,4259.94,86.94,SETTLED
SET_a89beee45,TXN_DC3AA0A6,GW_f231c38fb1f,2026-08-27,1482.65,1453.0,29.65,SETTLED
SET_af1ebbe54,TXN_4F3674FA,GW_fca4866847d,2026-08-12,2924.52,2866.03,58.49,SETTLED
SET_c98a7ec82,TXN_6926F38F,GW_aacd65d9563,2026-08-21,327.83,321.27,6.56,SETTLED
SET_f0c949474,TXN_A3C027BF,GW_bae4abbfc74,2026-08-15,1233.94,1209.26,24.68,SETTLED
SET_92c2e090e,TXN_DC40C439,GW_ab59638da7a,2026-08-28,4350.67,4263.66,87.01,SETTLED
SET_95a547e73,TXN_8460CEBB,GW_1a4fa25fedf,2026-08-29,1291.29,1265.46,25.83,SETTLED
SET_e6e9d58a6,TXN_CA85F650,GW_2b8bb540ac3,2026-08-22,4568.04,4476.68,91.36,SETTLED
SET_5c3eadb2c,TXN_28573B57,GW_03b6d6cdf1e,2026-08-27,2762.77,2707.51,55.26,SETTLED
SET_9d39987c1,TXN_86538E94,GW_4db0556e22e,2026-08-24,122.47,120.02,2.45,SETTLED
SET_a42f0b8e4,TXN_826C78A4,GW_f504bcb2741,2026-08-23,277.77,272.21,5.56,SETTLED
SET_9fbb7f65d,TXN_8E147F2B,GW_51ba65f5a40,2026-08-20,1445.03,1416.13,28.9,SETTLED
SET_f94d0d27a,TXN_EE9FC622,GW_1d4da836cb1,2026-08-24,2523.21,2472.75,50.46,SETTLED
SET_8ea3a0b71,TXN_5BF05146,GW_7a3e2ba4878,2026-09-02,10.72,10.51,0.21,SETTLED
SET_5546c2a1f,TXN_040BDBE7,GW_b2ecce03111,2026-08-10,1695.21,1661.31,33.9,SETTLED
SET_b0cb4017d,TXN_54E40927,GW_5ca5b3856ba,2026-08-17,4702.38,4608.33,94.05,SETTLED
SET_fe33394ad,TXN_E7992F22,GW_81932dcf9b8,2026-08-07,3781.21,3705.59,75.62,SETTLED
SET_865f3aa20,TXN_F45900C2,GW_7cfdfa1946b,2026-08-25,2697.58,2643.63,53.95,SETTLED
SET_ecf972838,TXN_9A5D1C9A,GW_a2a32601a9b,2026-08-13,1622.44,1589.99,32.45,SETTLED
SET_724581b79,TXN_7C39E09B,GW_26165ff6bf9,2026-08-29,1907.22,1869.08,38.14,SETTLED
SET_54f325b31,TXN_03B9E857,GW_0dbcb188017,2026-08-23,1066.72,1045.39,21.33,SETTLED
SET_976e54a11,TXN_86781258,GW_fe905ff1470,2026-08-12,2646.93,2593.99,52.94,SETTLED
SET_d6c628105,TXN_41828265,GW_b069a2936e4,2026-08-25,390.62,382.81,7.81,SETTLED
SET_618be8dea,TXN_642B9475,GW_36231a20103,2026-08-16,1869.19,1831.81,37.38,SETTLED
SET_6bf5c43ba,TXN_9187C542,GW_dfa1e69820b,2026-09-02,4413.99,4325.71,88.28,SETTLED
SET_e922f9267,TXN_EC7A210B,GW_6989c25f6af,2026-09-04,2316.07,2269.75,46.32,SETTLED
SET_44cd93c34,TXN_4D651C8E,GW_b87c863bf8a,2026-08-15,2273.06,2227.6,45.46,SETTLED
SET_6d27b9055,TXN_1986FBF4,GW_33be7acf640,2026-08-20,116.56,114.23,2.33,SETTLED
SET_c293481ea,TXN_2D8A2F0E,GW_616f22673b6,2026-08-21,3118.94,3056.56,62.38,SETTLED
SET_977d478ce,TXN_E610247D,GW_ca4c356b9e3,2026-08-23,1255.96,1230.84,25.12,SETTLED
SET_c2a38bfc1,TXN_ACA1A094,GW_b6a5d68524d,2026-08-31,4942.01,4843.17,98.84,SETTLED
SET_69144ffaa,TXN_8DC0C8CF,GW_eff3a92ba48,2026-08-07,4804.13,4708.05,96.08,SETTLED
SET_e79f7c19b,TXN_98D0D6AA,GW_3bb394e9b61,2026-08-11,788.97,773.19,15.78,SETTLED
SET_9d1863f8d,TXN_DDEBA675,GW_02b2553ae8d,2026-08-09,4054.88,3973.78,81.1,SETTLED
